review_text,date,rating,service_type,return_customer
"Suresh's knowledge of fabrics is encyclopaedic. He helped me choose the perfect weight wool for Singapore's climate. The suit is comfortable, sharp, and beautifully constructed.",2025-06-08,5,Casual Blazer,False
Remarkable attention to detail throughout the process. The bespoke suit arrived on time and fit perfectly after just one alteration. The linen for my summer wedding was ideal.,2025-06-08,5,Wedding Suit,True
"I ordered a bespoke wedding suit and was blown away by the quality. The fit is perfect, the fabric beautiful, and Suresh's expertise is unmatched. Highly recommend to anyone.",2025-06-12,5,Wedding Suit,True
Very good experience. The fabric quality is excellent and the fit is precise. Suresh took great care with the measurements. Delivery was slightly delayed but worth it for the quality.,2025-06-18,4,Wedding Suit,True
Disappointed. My bespoke suit was delivered with visible stitching issues and required substantial rework. The delay and quality problems made this a very poor investment.,2025-06-22,1,Business Suit,False
World-class tailoring at Far East Plaza. The hand-stitched lapels and surgeon's buttonholes set this apart from anything I have bought ready-to-wear. A genuine luxury experience.,2025-06-22,5,Business Suit,True
Excellent quality suit overall. Suresh was helpful and knowledgeable throughout. The bespoke fit is noticeably better than anything I have worn before. Will be back for another.,2025-06-24,4,Business Suit,True
"The craftsmanship here is extraordinary. Every stitch is considered, every detail refined. My wedding suit was delivered on time and was absolutely perfect. Thank you Suresh and team.",2025-06-25,5,Casual Blazer,True
"My navy business suit from Picadilly Tailors is the finest piece of clothing I own. The fabric quality, the cut, the finish — all exceptional. Suresh really listens to what you want.",2025-06-26,5,Casual Blazer,False
"My wedding suit from Picadilly Tailors was everything I dreamed of. The ivory linen was perfect for an outdoor ceremony. The team were patient, professional, and incredibly skilled.",2025-06-26,5,Casual Blazer,False
"The finest bespoke tailoring in Singapore. My black tie tuxedo is a work of art. The shawl lapel, the silk lining, the perfect drape — nothing comes close at this price point.",2025-06-26,5,Wedding Suit,True
The finished suit looks reasonable but the process was frustrating. Delays in communication and a longer wait than quoted made this less enjoyable than expected. Average overall.,2025-06-28,3,Casual Blazer,False
"I brought my groomsmen here for their wedding suits and the whole experience was seamless. Every suit fitted perfectly, the staff were professional, and the quality was outstanding.",2025-07-01,5,Business Suit,False
World-class tailoring at Far East Plaza. The hand-stitched lapels and surgeon's buttonholes set this apart from anything I have bought ready-to-wear. A genuine luxury experience.,2025-07-04,5,Formal Evening,False
Disappointed with the experience. The turnaround time was two weeks longer than promised and the suit still required significant alterations at collection. Expected much better.,2025-07-12,2,Casual Blazer,True
Cannot recommend highly enough. The team invested real time in understanding my body shape and preferences. The tailored result is magnificent. Best money I have ever spent on clothing.,2025-07-19,5,Wedding Suit,True
Remarkable attention to detail throughout the process. The bespoke suit arrived on time and fit perfectly after just one alteration. The linen for my summer wedding was ideal.,2025-07-20,5,Business Suit,True
Good bespoke service. My suit is well made and I have received several compliments. The final fitting took one small adjustment. Suresh handled it with skill and good humour.,2025-07-20,4,Alterations,False
"The attention to detail at Picadilly Tailors is remarkable. The hand-stitched buttonholes, the perfect canvas construction, the quality lining — everything speaks of genuine craft.",2025-07-28,5,Business Suit,True
Absolutely stunning craftsmanship. Suresh and the team at Picadilly Tailors created the most perfectly fitted suit I have ever worn. The fabric quality is exceptional and every detail is immaculate.,2025-07-28,5,Business Suit,True
Okay experience. The suit is wearable and looks alright. The turnaround time was very long and the communication was poor. For the price I expected a more premium experience.,2025-08-09,3,Business Suit,True
Absolutely stunning craftsmanship. Suresh and the team at Picadilly Tailors created the most perfectly fitted suit I have ever worn. The fabric quality is exceptional and every detail is immaculate.,2025-08-09,5,Wedding Suit,True
"Perfect bespoke suit for my corporate role. The cut is sharp, the fabric holds beautifully throughout the day. Colleagues noticed immediately. Will be returning for a second suit.",2025-08-13,5,Business Suit,False
Really happy with my corporate suit. The fit is excellent and the quality is apparent. I had to visit for one adjustment but the team were accommodating and professional about it.,2025-08-14,4,Wedding Suit,True
"Outstanding value for a bespoke suit of this quality. The fabric is premium, the construction superb, and the fit perfect. I have recommended Picadilly Tailors to all my colleagues.",2025-08-16,5,Formal Evening,True
Very happy with my bespoke suit overall. The fabric quality and fit are excellent. One minor adjustment was needed after collection but Suresh sorted it quickly and professionally.,2025-08-18,4,Business Suit,True
Excellent quality suit overall. Suresh was helpful and knowledgeable throughout. The bespoke fit is noticeably better than anything I have worn before. Will be back for another.,2025-08-21,4,Wedding Suit,False
The best tailoring experience in Singapore without question. My bespoke suit for the black tie event drew so many compliments. The fabric drape and silhouette are perfection.,2025-08-22,5,Business Suit,True
Happy with the results. The suit looks smart and fits much better than off-the-rack. Suresh knows his craft. Communication during the wait period could be improved.,2025-08-28,4,Wedding Suit,True
"Perfect bespoke suit for my corporate role. The cut is sharp, the fabric holds beautifully throughout the day. Colleagues noticed immediately. Will be returning for a second suit.",2025-09-01,5,Formal Evening,True
Absolutely stunning craftsmanship. Suresh and the team at Picadilly Tailors created the most perfectly fitted suit I have ever worn. The fabric quality is exceptional and every detail is immaculate.,2025-09-05,5,Wedding Suit,True
"I brought my groomsmen here for their wedding suits and the whole experience was seamless. Every suit fitted perfectly, the staff were professional, and the quality was outstanding.",2025-09-08,5,Formal Evening,True
"Perfect bespoke suit for my corporate role. The cut is sharp, the fabric holds beautifully throughout the day. Colleagues noticed immediately. Will be returning for a second suit.",2025-09-14,5,Formal Evening,True
Cannot recommend highly enough. The team invested real time in understanding my body shape and preferences. The tailored result is magnificent. Best money I have ever spent on clothing.,2025-09-18,5,Formal Evening,True
Remarkable attention to detail throughout the process. The bespoke suit arrived on time and fit perfectly after just one alteration. The linen for my summer wedding was ideal.,2025-09-18,5,Business Suit,True
Really pleased with the quality and fit. The consultation was thorough and Suresh offered helpful advice. Communication could be a bit more regular during the waiting period.,2025-09-20,4,Casual Blazer,True
"Suresh's knowledge of fabrics is encyclopaedic. He helped me choose the perfect weight wool for Singapore's climate. The suit is comfortable, sharp, and beautifully constructed.",2025-09-24,5,Business Suit,True
Okay experience. The suit is wearable and looks alright. The turnaround time was very long and the communication was poor. For the price I expected a more premium experience.,2025-09-24,3,Business Suit,True
Mixed experience overall. The fabric and construction are fine but the fit required more adjustments than expected for a bespoke suit. Staff were helpful in sorting it eventually.,2025-09-26,3,Wedding Suit,False
"My wedding suit from Picadilly Tailors was everything I dreamed of. The ivory linen was perfect for an outdoor ceremony. The team were patient, professional, and incredibly skilled.",2025-10-08,5,Alterations,True
"My navy business suit from Picadilly Tailors is the finest piece of clothing I own. The fabric quality, the cut, the finish — all exceptional. Suresh really listens to what you want.",2025-10-08,5,Formal Evening,True
"Perfect bespoke suit for my corporate role. The cut is sharp, the fabric holds beautifully throughout the day. Colleagues noticed immediately. Will be returning for a second suit.",2025-10-17,5,Business Suit,False
The quality of the wool fabric is extraordinary. Suresh recommended an Italian cloth that has proven incredibly durable and elegant. My suit looks as good as the day I collected it.,2025-10-21,5,Business Suit,True
"The finest bespoke tailoring in Singapore. My black tie tuxedo is a work of art. The shawl lapel, the silk lining, the perfect drape — nothing comes close at this price point.",2025-10-21,5,Business Suit,False
World-class tailoring at Far East Plaza. The hand-stitched lapels and surgeon's buttonholes set this apart from anything I have bought ready-to-wear. A genuine luxury experience.,2025-10-22,5,Formal Evening,False
The quality of the wool fabric is extraordinary. Suresh recommended an Italian cloth that has proven incredibly durable and elegant. My suit looks as good as the day I collected it.,2025-10-27,5,Wedding Suit,True
"I brought my groomsmen here for their wedding suits and the whole experience was seamless. Every suit fitted perfectly, the staff were professional, and the quality was outstanding.",2025-11-05,5,Business Suit,True
Really happy with my corporate suit. The fit is excellent and the quality is apparent. I had to visit for one adjustment but the team were accommodating and professional about it.,2025-11-05,4,Wedding Suit,False
"The attention to detail at Picadilly Tailors is remarkable. The hand-stitched buttonholes, the perfect canvas construction, the quality lining — everything speaks of genuine craft.",2025-11-06,5,Business Suit,True
"I have been a loyal customer for six years and the quality never wavers. The wool fabric is luxurious, the fit is flawless, and the staff are always knowledgeable and professional.",2025-11-08,5,Business Suit,True
Decent quality but disappointing given the price and reputation. My suit took much longer than promised and needed two rounds of alterations. Service needs to be more consistent.,2025-11-09,3,Wedding Suit,False
"I have been a loyal customer for six years and the quality never wavers. The wool fabric is luxurious, the fit is flawless, and the staff are always knowledgeable and professional.",2025-11-10,5,Business Suit,True
"My navy business suit from Picadilly Tailors is the finest piece of clothing I own. The fabric quality, the cut, the finish — all exceptional. Suresh really listens to what you want.",2025-11-25,5,Business Suit,False
Really pleased with the quality and fit. The consultation was thorough and Suresh offered helpful advice. Communication could be a bit more regular during the waiting period.,2025-11-27,4,Wedding Suit,False
The suit quality is decent and Suresh is clearly skilled. However the turnaround time was significantly longer than promised which caused stress ahead of my event. Needs improvement.,2025-12-18,3,Alterations,False
